Canonical_Name,Alias1,Alias2,Alias3,Alias4,Alias5,Alias6,Alias7
Nasice cement,,,,,,,
Navigator Holdings,Navigator Holdings,Navigator CO2,,,,,
Nexe Group,,,,,,,
Nordbex AB,,,,,,,
Nordsofonden,,,,,,,
Nordion Energi,,,,,,,
Nordkalk,,,,,,,
Norne Thorning Storage ApS,,,,,,,
Norske Skog Saugbrugs,,,,,,,
North London Waste Authority,,,,,,,
North Sea Midstream partners,,,,,,,
North Sea Port,North Sea Port,Port company North Sea Port,,,,,
Northern Gas Networks,,,,,,,
Northern Lights,,,,,,,
Nottingham University,,,,,,,
Nuon,,,,,,,
OCAP,,,,,,,
OMV,OMV,OMV AS,Borealis,,,,
ORLEN,ORLEN,Orlen Lietuva,PKN Orlen,,,,
Ocean-Power AS,,,,,,,
Oilex,,,,,,,
OneDyas,,,,,,,
Onyx Power,,,,,,,
Open Grid Europe,Open Grid Europe,OGE,,,,,
Origin,,,,,,,
Orsted,,,,,,,
P2X Europe,,,,,,,
PGNiG Upstream Norway,,,,,,,
POSCO,,,,,,,
PZEM,,,,,,,
Paul Wurth SA,,,,,,,
Peel NRE,,,,,,,
Perstorp Oxo AB,,,,,,,
Petoro,,,,,,,
Petroceltic,,,,,,,
Petrofac,Petrofac,Petrofac Facilities Management,,,,,
Petroineos,,,,,,,
Phillips 66,,,,,,,
Plagazi,,,,,,,
Pole Avenia,,,,,,,
Pori Energia,,,,,,,
Port den Helder,,,,,,,
Port of Antwerp,Port of Antwerp,port of Antwerp,,,,,
Port of Dunkerque,,,,,,,
Port of Rotterdam,,,,,,,
Ports of Stockhom,,,,,,,
Prax,,,,,,,
Preem,,,,,,,
Prenco UK,,,,,,,
Prime Capital AG,,,,,,,
Primetals Technologies,,,,,,,
Progressive Energy,,,,,,,
Protech,Protech Sp. z o. o.,,,,,,
RWE,,,,,,,
RYAM,,,,,,,
Redcar Energy,,,,,,,
Removr,,,,,,,
RenGas,,,,,,,
Renova,,,,,,,
RepAir,RepAir,RepAIr,RepAir Carbon,RepAir Carbon US Inc.,,,
Repsol,,,,,,,
Returkraft,,,,,,,
Rio Tinto,,,,,,,
Rohm,,,,,,,
Ross Energy,,,,,,,
Royal Wagenborg,,,,,,,
SAS,,,,,,,
SSE,SSE,SSE Thermal,,,,,
Saint-gobain glass,,,,,,,
Schlumberger,,,,,,,
Schwenk's Building Material Group,,,,,,,
Sevan SSP,,,,,,,
Shell,Norske Shell,,,,,,
Siemens Energy,,,,,,,
SigmaRoc,,,,,,,
Singleton Birch,,,,,,,
Sizewell C,,,,,,,
Smart Delta Resources,,,,,,,
Snam,,,,,,,
Soderenergi,,,,,,,
Solar 21 Renewable Energy Limited,,,,,,,
Spirit Energy,,,,,,,
St1.,,,,,,,
Statkraft,Statkraft,Statkraft Varme,,,,,
Stockolm Exergi,Stockolm Exergi,Stockholm Exergi,,,,,
Storegga,,,,,,,
Strata Technology,,,,,,,
SubC Partner,,,,,,,
Suez,,,,,,,
Summit Energy Evolution Limited,,,,,,,
Summit Power,,,,,,,
Sundsvall Energi,,,,,,,
Sunfire,Sunfire,Sunfire GmbH,,,,,
Sval,,,,,,,
Sydkraft AB,,,,,,,
Sylvamo,,,,,,,
Synergia Energy,Synergia Energy,Synergia Energy Ltd,,,,,
Söderenergi,SÃ¶derenergi,,,,,,
TES,,,,,,,
TU Denmark,,,,,,,
Tampereen Energia,,,,,,,
Tarmac,,,,,,,
Technip,Technip,Technip Energies,Technip energies,,,,
Tenaz Energy,Tenaz Energy,Tenaz Energy Netherlands Offshore,,,,,
Teniska Verken,,,,,,,
Terega,,,,,,,
ThyssenKrupp Group,,,,,,,
Titan Group,,,,,,,
Topsoe,,,,,,,
TotalEnergies,TotalEnergies,Total Energies,,,,,
Transgaz,,,,,,,
Trimet,,,,,,,
Twence,,,,,,,
Umea Energi,,,,,,,
Uniper,,,,,,,
Université de Pau,UniversitÃ© de Pau,,,,,,
VBSA,,,,,,,
VDZ,,,,,,,
VNG,,,,,,,
VPI,VPI,VPI Immingham,,,,,
Valinor,,,,,,,
Vattenfall,,,,,,,
Velocys,,,,,,,
Veolia,,,,,,,
Verbund,,,,,,,
Verdalis,,,,,,,
Veri Energy,,,,,,,
Verso Energy,,,,,,,
Vestforbrænding,VestforbrÃ¦nding,,,,,,
Vicat,,,,,,,
Viridor,,,,,,,
Vopak,,,,,,,
Växjö Energi,VÃ¤xjÃ¶ Energi,,,,,,
Var Energi,VÃ¥r Energi,,,,,,
Welltec,,,,,,,
Westenergy Ltd,,,,,,,
Whitegate,,,,,,,
Worley,,,,,,,
Yara,,,,,,,
Zeeland Refinery,,,,,,,
RTE,and RTE,,,,,,
Bluenord,bluenord,,,,,,
carbon clean,,,,,,,
emov,,,,,,,
geopetrol,,,,,,,
geostock,,,,,,,
solar 21 Renewable Energy Limited,,,,,,,
unknown company,unknown company,unknown companies,,,,,
Öresundskraft,Ã–resundskraft,,,,,,
